"","Set","DGP","PEHE_BCF","SE_BCF","PEHE_SHBCF","SE_SHBCF"
"1","Train","Same Covas",0.475609430229806,0.0101575658873049,0.364846440809841,0.0107758415700531
"2","Train","Half & Half",0.315307941687241,0.0101435656396661,0.268827762342379,0.0120098914106514
"3","Test","Same Covas",0.485553918115225,0.0111611093700465,0.372324628873968,0.0116380687437848
"4","Test","Half & Half",0.312148313766434,0.00994960052473148,0.267694049479006,0.0121294918010846
